"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25","Comp.26","Comp.27","Comp.28","Comp.29"
"Persistent.EPS.in.the.Last.Four.Seasons",0.94,-0.06,-0.02,0.01,0.08,0.08,0.09,0.14,0,0.03,0.05,0.02,0.01,0.01,0.01,-0.02,0,-0.01,0.01,0.01,-0.03,0,0,0.03,0.06,-0.04,0,0,-0.01
"Per.Share.Net.profit.before.tax..Yuan...",0.93,-0.06,-0.01,0.01,0.09,0.07,0.08,0.13,0.01,0.04,0.04,0.02,0.02,0.01,0,-0.02,0,-0.01,0,-0.01,-0.04,0,0,0.06,0.09,-0.05,0,0,0.02
"Net.profit.before.tax.Paid.in.capital",0.92,-0.06,-0.01,0.01,0.1,0.07,0.09,0.14,0.01,0.03,0.04,0.01,0.02,0.01,0.01,-0.03,0,-0.02,0.01,-0.01,-0.05,-0.01,0,0.03,0.11,-0.05,0,0,0.01
"Net.Value.Per.Share..B.",0.87,-0.04,-0.16,0.02,-0.06,-0.02,-0.03,-0.04,0,0,0.04,0.03,-0.04,0,0,-0.01,0,0.04,-0.01,-0.04,0.22,0.06,-0.02,-0.1,-0.25,0.15,-0.01,-0.03,0.01
"Net.Value.Per.Share..A.",0.87,-0.04,-0.16,0.02,-0.06,-0.02,-0.03,-0.04,0,0,0.04,0.03,-0.04,0,0,-0.01,0,0.04,-0.01,-0.04,0.22,0.06,-0.02,-0.1,-0.25,0.15,-0.01,-0.03,0.01
"Net.Value.Per.Share..C.",0.87,-0.04,-0.16,0.02,-0.06,-0.02,-0.03,-0.04,0,0,0.04,0.03,-0.04,0,0,-0.01,0,0.04,-0.01,-0.04,0.22,0.06,-0.02,-0.1,-0.25,0.15,-0.01,-0.03,0.01
"Operating.Profit.Per.Share..Yuan...",0.87,-0.04,0.09,0,0.18,0.11,0.15,0.06,0,0.02,0.03,0.01,0.03,0.04,0.01,0.01,0,-0.02,-0.01,0.03,-0.12,-0.05,-0.01,0.04,0.13,-0.07,0.01,0.02,-0.01
"Operating.profit.Paid.in.capital",0.87,-0.04,0.09,0,0.18,0.11,0.16,0.05,0,0.02,0.03,0.01,0.03,0.04,0.01,0,0,-0.02,-0.01,0.03,-0.12,-0.05,-0.01,0.03,0.14,-0.07,0.01,0.02,-0.01
"ROA.C..before.interest.and.depreciation.before.interest",0.66,-0.08,-0.09,0.02,0.08,0.19,0.23,0.57,0,0.06,0.06,-0.02,0.04,0.02,-0.01,-0.01,0.01,-0.04,-0.01,-0.03,-0.07,0,0.01,0.11,0.11,-0.03,0,-0.02,-0.01
"ROA.A..before.interest.and...after.tax",0.66,-0.08,-0.09,0.02,0.12,0.17,0.16,0.63,0.01,0.07,0.06,0.01,0.03,0.01,0,-0.05,0.01,-0.03,0,-0.01,-0.04,0.01,0.01,0.07,0.06,0,-0.01,0,-0.01
"ROA.B..before.interest.and.depreciation.after.tax",0.65,-0.08,-0.09,0.03,0.07,0.18,0.22,0.6,0,0.06,0.06,-0.02,0.03,0.02,-0.01,-0.02,0.01,-0.04,-0.01,-0.01,-0.07,0.01,0.01,0.11,0.08,-0.02,-0.01,-0.01,-0.02
"Net.Income.to.Total.Assets",0.58,-0.11,-0.11,0.02,0.1,0.15,0.14,0.71,0,0.06,0.06,0.01,0.02,0.01,0,-0.07,0.01,-0.02,0.01,-0.02,-0.02,0.02,0.01,0.03,0.03,0.04,-0.01,-0.01,0
"Retained.Earnings.to.Total.Assets",0.45,-0.06,-0.1,0.02,0.04,0.04,0.1,0.67,0,0,0.05,0.01,0,-0.01,0,-0.07,0.01,0.02,0,-0.03,0.09,0.05,0,-0.08,-0.13,0.18,-0.01,-0.02,-0.01
"Cash.Flow.Per.Share",0.42,0,-0.04,0,-0.02,0.03,0.77,-0.12,0,-0.06,0.1,-0.01,0.01,-0.02,-0.02,-0.03,0,-0.03,0.01,-0.01,0.02,0,0.01,-0.12,0.02,-0.01,0,0.01,0.03
"Operating.profit.per.person",0.36,-0.01,0.1,0.01,0.08,0.22,-0.14,0.18,0,0.01,0.02,0.07,0.05,0.12,0.1,0.01,0.2,-0.05,-0.07,0.3,-0.02,0,0.03,-0.25,0,-0.02,0.04,0.11,0
"CFO.to.Assets",0.24,-0.03,-0.14,0.02,-0.03,0.12,0.82,0.2,-0.01,-0.02,0.17,0,0.02,0.14,-0.01,-0.03,0.01,-0.01,-0.02,0.01,-0.01,0.01,-0.01,-0.05,0,0.06,0,0,0
"Total.Asset.Turnover",0.18,0.04,0.28,0.02,0.59,-0.11,0.07,0.07,0,0.05,-0.02,0.14,0.46,-0.03,0.01,0.03,0,-0.02,-0.03,-0.11,0.14,-0.02,0,0.22,0.01,-0.04,-0.02,-0.02,0.01
"Operating.Gross.Margin",0.17,-0.04,-0.1,0.01,0.04,0.96,0.07,0.03,0,0.02,0.03,0.01,-0.06,0.02,0,-0.01,0.01,0.03,0,0,-0.01,0,0,0.01,0.01,-0.01,0,0,0
"Realized.Sales.Gross.Margin",0.17,-0.04,-0.1,0.01,0.04,0.96,0.07,0.03,0,0.02,0.03,0.01,-0.06,0.02,0,-0.01,0.01,0.03,0,0,-0.01,0,0,0.01,0.01,-0.01,0,0,0
"Working.Capital.to.Total.Assets",0.17,-0.1,-0.48,0.02,0.74,0.12,-0.03,0.06,0.02,0.01,0.11,0,-0.15,0.05,0.03,-0.06,-0.02,-0.01,-0.03,0.04,-0.09,0.01,-0.06,-0.03,-0.05,-0.01,0.01,0.01,-0.01
"Gross.Profit.to.Sales",0.17,-0.04,-0.1,0.01,0.04,0.96,0.07,0.03,0,0.02,0.03,0.01,-0.06,0.02,0,-0.01,0.01,0.03,0,0,-0.01,0,0,0.01,0.01,-0.01,0,0,0
"Tax.rate..A.",0.16,-0.03,0.07,0.01,0.15,0.07,-0.01,0.21,0,0.01,-0.04,0.02,0.15,0.03,-0.03,0.03,-0.01,-0.08,0.03,-0.21,0.05,-0.09,-0.03,-0.17,0.22,0.24,0.02,-0.04,0.18
