"","Eigenvalue","Pct of explained variance","Cumulative pct of explained variance"
"Component 1",12.55,13.35,13.35
"Component 2",6.78,7.21,20.56
"Component 3",4.73,5.04,25.6
"Component 4",4.44,4.72,30.32
"Component 5",3.98,4.23,34.56
"Component 6",3.03,3.22,37.78
"Component 7",2.87,3.05,40.83
"Component 8",2.76,2.93,43.76
"Component 9",2.63,2.8,46.56
"Component 10",2.03,2.16,48.72
"Component 11",1.94,2.06,50.78
"Component 12",1.87,1.98,52.76
"Component 13",1.68,1.79,54.55
"Component 14",1.5,1.6,56.15
"Component 15",1.48,1.58,57.73
"Component 16",1.44,1.53,59.26
"Component 17",1.42,1.51,60.78
"Component 18",1.31,1.4,62.17
"Component 19",1.24,1.31,63.49
"Component 20",1.2,1.27,64.76
"Component 21",1.17,1.25,66.01
"Component 22",1.14,1.22,67.23
"Component 23",1.09,1.16,68.39
"Component 24",1.05,1.12,69.51
"Component 25",1.04,1.11,70.62
"Component 26",1.03,1.1,71.72
"Component 27",1.01,1.08,72.79
"Component 28",1.01,1.07,73.87
"Component 29",1.01,1.07,74.94
"Component 30",0.99,1.05,75.99
"Component 31",0.98,1.04,77.03
"Component 32",0.97,1.03,78.05
"Component 33",0.96,1.02,79.07
"Component 34",0.95,1.01,80.08
"Component 35",0.94,1,81.08
"Component 36",0.92,0.98,82.06
"Component 37",0.91,0.97,83.03
"Component 38",0.91,0.97,84
"Component 39",0.88,0.94,84.93
"Component 40",0.85,0.91,85.84
"Component 41",0.85,0.9,86.74
"Component 42",0.83,0.88,87.62
"Component 43",0.8,0.85,88.48
"Component 44",0.79,0.85,89.32
"Component 45",0.76,0.8,90.13
"Component 46",0.72,0.76,90.89
"Component 47",0.69,0.73,91.62
"Component 48",0.66,0.7,92.32
"Component 49",0.6,0.64,92.96
"Component 50",0.57,0.61,93.57
"Component 51",0.54,0.58,94.14
"Component 52",0.54,0.57,94.72
"Component 53",0.5,0.53,95.25
"Component 54",0.47,0.5,95.75
"Component 55",0.42,0.45,96.2
"Component 56",0.41,0.44,96.64
"Component 57",0.39,0.41,97.05
"Component 58",0.33,0.35,97.39
"Component 59",0.32,0.34,97.74
"Component 60",0.25,0.27,98
"Component 61",0.25,0.26,98.26
"Component 62",0.22,0.23,98.49
"Component 63",0.21,0.23,98.72
"Component 64",0.17,0.18,98.9
"Component 65",0.17,0.18,99.08
"Component 66",0.15,0.16,99.24
"Component 67",0.14,0.15,99.39
"Component 68",0.11,0.12,99.51
"Component 69",0.08,0.09,99.6
"Component 70",0.08,0.09,99.69
"Component 71",0.06,0.07,99.76
"Component 72",0.05,0.06,99.82
"Component 73",0.04,0.04,99.86
"Component 74",0.03,0.03,99.89
"Component 75",0.02,0.03,99.91
"Component 76",0.02,0.02,99.94
"Component 77",0.02,0.02,99.96
"Component 78",0.02,0.02,99.97
"Component 79",0.01,0.01,99.98
"Component 80",0.01,0.01,99.99
"Component 81",0,0,99.99
"Component 82",0,0,100
"Component 83",0,0,100
"Component 84",0,0,100
"Component 85",0,0,100
"Component 86",0,0,100
"Component 87",0,0,100
"Component 88",0,0,100
"Component 89",0,0,100
"Component 90",0,0,100
"Component 91",0,0,100
"Component 92",0,0,100
"Component 93",0,0,100
"Component 94",0,0,100
